BehaviorSpace results (NetLogo 5.2.1),,,,,,,,,,,,,,,,,,,,,,,
INDISIM3.nlogo,,,,,,,,,,,,,,,,,,,,,,,
25_simulations,,,,,,,,,,,,,,,,,,,,,,,
08/15/2016 08:44:37:480 -0400,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,
0,30,0,30,,,,,,,,,,,,,,,,,,,,
[run number],inhibitory_k,mass_reproduction,initial_local_nutrient,viability_time,yield,length_time_feed,yield-2,availability_k,uptake_k,Bioreactor,out_reservoir_nutrient,initial_bacteria_2,maintenance_k,in_out_percent,fed_nutrient,initial_bacteria_1,[step],count turtles,count turtles with [color = pink],count turtles with [color = sky],total_biomass,total_nutrient,total_end_product
5,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,5,12,10,9,1,372.2275874,480059.2778,440.6601034
1,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,1,13,3,2,1,79.99130928,480423.6495,76.35047217
4,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,4,13,6,5,1,229.3073201,480219.566,280.4338237
8,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,3,14,8,6,2,281.2156265,480144.332,355.6678784
6,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,1,14,6,2,4,121.3362722,480431.3715,68.61837778
2,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,2,16,5,3,2,149.6720703,480330.6058,169.1552217
1,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,1,14,3,2,1,83.14246364,480413.7746,86.22536863
4,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,4,14,7,6,1,238.5664739,480187.4758,312.5238229
7,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,2,14,5,3,2,161.8398055,480327.232,172.767965
5,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,5,13,10,9,1,385.1817788,480009.2974,490.6309622
8,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,3,15,8,6,2,287.9425686,480108.8985,391.1013558
6,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,1,15,6,2,4,130.1445606,480420.8651,79.1232788
2,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,2,17,5,3,2,155.4636891,480314.2629,185.4153508
3,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,3,2,5,4,1,122.2116525,480467.8499,32.15005884
1,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,1,15,3,2,1,87.14489938,480403.4905,96.5095348
4,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,4,15,7,6,1,250.0537101,480154.74,345.258963
7,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,2,15,5,3,2,160.9371503,480310.8744,189.1256346
5,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,5,14,11,10,1,394.8362979,479957.0992,542.7795702
8,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,3,16,8,6,2,295.0268749,480071.1124,428.8874566
6,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,1,16,6,2,4,137.0875464,480409.6543,90.33043043
2,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,2,18,5,3,2,159.2305447,480296.7524,202.8247749
4,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,4,16,8,7,1,256.1942479,480121.652,378.3451797
1,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,1,16,3,2,1,87.94209378,480393.422,106.5780337
7,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,2,16,5,3,2,165.4176285,480292.1452,207.8548171
5,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,5,15,11,10,1,409.7044403,479902.6181,597.2416185
8,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,3,17,8,6,2,296.6255664,480036.7011,463.2986707
6,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,1,17,6,2,4,142.4266612,480398.196,101.7750716
2,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,2,19,5,3,2,168.9782279,480277.6267,221.8548373
4,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,4,17,8,7,1,267.4515261,480087.02,412.9767937
3,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,3,3,5,4,1,139.0539215,480447.2319,52.7680532
7,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,2,17,5,3,2,170.4659604,480272.2532,227.7467602
1,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,1,17,4,3,1,92.51915283,480382.3764,117.6236242
2,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,2,20,5,3,2,171.2184177,480258.7591,240.6139638
8,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,3,18,8,6,2,307.2005311,479998.2678,501.7317367
6,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,1,18,6,2,4,144.2238787,480386.8988,113.0682293
4,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,4,18,8,7,1,282.5344818,480048.8165,451.1798563
5,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,5,16,11,10,1,425.9616348,479846.0297,653.8107488
7,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,2,18,5,3,2,172.9978536,480254.3974,245.6026469
1,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,1,18,4,3,1,100.4167246,480369.2475,130.7524948
3,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,3,4,5,4,1,147.9651046,480426.7226,73.27738557
6,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,1,19,6,2,4,144.6503104,480375.8226,124.0310393
2,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,2,21,5,3,2,172.6969999,480240.3091,258.8187918
8,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,3,19,8,6,2,310.3983886,479961.4325,538.5648458
7,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,2,19,5,3,2,171.597028,480235.5639,264.4361329
3,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,3,5,6,5,1,165.3903727,480402.3478,97.6521863
6,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,1,20,6,2,4,143.8546124,480365.6976,134.1329249
4,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,4,19,9,8,1,301.2270845,480006.756,493.2397318
7,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,2,20,5,3,2,174.2119011,480216.8736,283.1264011
3,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,3,6,6,5,1,172.4733982,480378.7386,121.2614353
6,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,1,21,6,2,4,142.6967633,480355.5097,144.3135371
5,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,5,17,12,11,1,447.58203,479785.6682,714.1289917
2,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,2,22,5,3,2,178.351331,480219.7235,279.228859
7,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,2,21,5,3,2,172.7967512,480197.9788,302.0211896
6,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,1,22,6,2,4,142.6452492,480345.7139,154.0424123
3,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,3,7,6,5,1,178.0074078,480355.1109,144.8890556
5,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,5,18,12,11,1,473.7140698,479720.1906,779.5802411
6,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,1,23,6,2,4,144.2821332,480335.6722,163.7826121
7,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,2,0.25,0.04,300,2,22,5,3,2,174.0434401,480179.1081,320.891873
3,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,3,8,6,5,1,188.2669988,480330.5847,169.4153362
4,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,4,20,9,8,1,322.61715,479961.9613,538.0318602
1,0,50,500,200,1.8,10,3,0.5,0.5,"""Batch""",901200,1,0.25,0.04,300,1,19,4,3,1,103.5237947,480357.1077,142.8923274
